,ControllerSupport,PlatformMac,PlatformWindows,PlatformLinux
233,False,False,True,False
234,False,False,True,False
235,False,False,True,False
236,False,False,True,False
237,False,False,True,False
238,False,False,True,False
239,False,True,True,False
240,False,False,True,False
241,False,True,True,False
242,False,False,True,False
243,False,False,True,False
244,False,False,True,False
245,False,False,True,False
246,True,False,True,False
247,False,False,True,False
248,False,False,True,False
249,False,False,True,False
250,False,False,True,False
251,False,False,True,False
252,False,False,True,False
253,False,True,True,False
254,False,True,True,False
255,False,True,True,False
256,False,True,True,False
257,False,True,True,False
258,False,False,True,False
259,False,False,True,False
260,False,False,True,False
261,False,True,True,False
262,False,False,True,False
263,False,False,True,False
264,False,False,True,False
265,False,False,True,False
266,True,False,True,False
267,False,True,True,False
268,False,False,True,False
269,False,False,True,False
270,False,False,True,False
271,False,True,True,False
272,True,True,True,False
273,True,True,True,True
274,False,False,True,False
275,False,False,True,False
276,False,True,True,True
277,False,False,True,False
278,False,False,True,False
279,False,False,True,False
280,False,False,True,False
281,False,False,True,False
282,False,False,True,False
283,False,False,True,False
284,False,False,True,False
285,False,False,True,False
286,False,False,True,False
287,False,False,True,False
288,False,False,True,False
289,False,False,True,False
290,False,False,True,False
291,False,False,True,False
292,False,False,True,False
293,False,False,True,False
294,False,False,True,False
295,False,False,True,True
296,False,True,True,False
297,False,False,True,False
298,False,False,True,False
299,False,False,True,False
300,False,False,True,False
301,False,False,True,False
302,False,False,True,False
303,False,False,True,False
304,True,False,True,False
305,False,False,True,False
306,False,False,True,False
307,False,False,True,False
308,False,False,True,False
309,False,False,True,False
310,False,False,True,False
311,False,False,True,False
312,False,False,True,False
313,False,False,True,False
314,False,False,True,False
315,False,False,True,False
316,False,False,True,False
317,False,False,True,False
318,False,True,True,False
319,False,True,True,False
320,False,False,True,False
321,False,False,True,False
322,False,False,True,False
323,False,False,True,False
324,False,False,True,False
325,False,False,True,False
326,False,False,True,False
327,False,True,True,True
328,False,False,True,False
329,False,False,True,False
330,False,False,True,False
331,False,False,True,False
332,False,False,True,False
333,False,False,True,False
334,False,False,True,False
335,False,False,True,False
336,False,False,True,False
337,False,False,True,False
338,False,False,True,False
339,False,True,True,False
340,False,False,True,False
341,False,False,True,False
342,False,False,True,False
343,False,False,True,False
344,False,True,True,False
345,False,False,True,False
346,False,False,True,False
347,False,True,True,False
348,False,False,True,False
349,False,False,True,False
350,False,True,True,True
351,False,False,True,False
352,False,False,True,False
353,False,False,True,False
354,False,False,True,False
355,False,False,True,False
356,False,False,True,False
357,False,True,True,False
358,False,True,True,False
359,False,True,True,False
360,False,False,True,False
361,False,False,True,False
362,False,False,True,False
363,False,False,True,False
364,False,False,True,False
365,False,False,True,False
366,False,False,True,False
367,False,False,True,False
368,False,False,True,False
369,False,False,True,False
370,False,False,True,False
371,False,False,True,False
372,False,False,True,False
373,False,False,True,False
374,False,False,True,False
375,False,False,True,False
376,False,False,True,False
377,False,False,True,False
378,False,False,True,False
379,False,False,True,False
380,False,False,True,False
381,False,False,True,False
382,False,False,True,False
383,False,False,True,False
384,False,False,True,False
385,False,False,True,False
386,False,False,True,False
387,False,False,True,False
388,False,False,True,False
389,False,False,True,False
390,False,False,True,False
391,False,False,True,False
392,False,False,True,False
393,False,False,True,False
394,False,False,True,False
395,False,False,True,False
396,False,False,True,False
397,False,False,True,False
398,False,False,True,False
399,False,False,True,False
400,False,True,True,True
401,False,False,True,False
402,True,False,True,False
403,False,False,True,False
404,False,True,True,True
405,False,False,True,False
406,True,False,True,False
407,False,False,True,False
408,False,False,True,False
409,False,False,True,False
410,False,False,True,False
411,False,False,True,False
412,False,False,True,False
413,False,False,True,False
414,False,False,True,False
415,False,False,True,False
416,False,False,True,False
417,False,False,True,False
418,False,False,True,False
419,False,False,True,False
420,False,False,True,False
421,False,False,True,False
422,False,False,True,False
423,False,False,True,False
424,False,False,True,False
425,False,False,True,False
426,False,False,True,False
427,False,False,True,False
428,False,False,True,False
429,False,False,True,False
430,False,False,True,False
431,False,False,True,False
432,False,False,True,False
433,False,False,True,False
434,False,False,True,False
435,False,False,True,False
436,False,False,True,False
437,False,False,True,False
438,False,False,True,False
439,False,False,True,False
440,False,False,True,False
441,False,False,True,False
442,False,False,True,False
443,False,False,True,False
444,False,False,True,False
445,False,True,True,True
446,False,False,True,False
447,False,False,True,False
448,False,False,True,False
449,True,True,True,True
450,False,False,True,False
451,False,False,True,False
452,False,False,True,False
453,False,False,True,False
454,False,False,True,False
455,False,False,True,False
456,False,False,True,False
457,False,False,True,False
458,False,False,True,False
459,False,False,True,False
460,False,False,True,False
461,False,False,True,False
462,False,True,True,False
463,False,False,True,False
464,False,False,True,False
465,False,False,True,False
466,False,False,True,False
467,False,False,True,False
468,False,False,True,False
469,False,False,True,False
470,False,False,True,False
471,False,False,True,False
472,False,False,True,False
473,False,False,True,False
474,False,False,True,False
475,False,False,True,False
476,False,False,True,False
477,False,False,True,False
478,False,True,True,False
479,False,False,True,False
480,False,True,True,False
481,False,False,True,False
482,False,True,True,False
483,False,False,True,False
484,False,False,True,False
485,False,False,True,False
486,False,False,True,False
487,False,False,True,False
488,False,False,True,False
489,False,False,True,False
490,False,False,True,False
491,False,False,True,False
492,True,False,True,False
493,False,False,True,False
494,False,False,True,False
495,False,False,True,False
496,False,False,True,False
497,True,False,True,False
498,False,False,True,False
499,False,True,True,True
500,False,False,True,False
501,False,True,True,True
502,False,False,True,False
503,False,False,True,False
504,False,False,True,False
505,False,True,True,False
506,False,True,True,False
507,False,True,True,False
508,False,True,True,False
509,False,True,True,False
510,False,True,True,True
511,False,False,True,False
512,False,False,True,False
513,False,False,True,False
514,False,False,True,False
515,False,False,True,False
516,False,False,True,False
517,False,False,True,False
518,True,False,True,False
519,False,False,True,False
520,False,True,True,True
521,False,False,True,False
522,False,False,True,False
523,False,False,True,False
524,False,False,True,False
525,False,False,True,False
526,False,False,True,False
527,False,False,True,False
528,False,False,True,False
529,False,False,True,False
530,False,False,True,False
531,False,False,True,False
532,False,False,True,False
533,False,False,True,False
534,False,False,True,False
535,False,False,True,False
536,False,False,True,False
537,True,False,True,False
538,False,False,True,False
539,False,False,True,False
540,False,False,True,False
541,False,False,True,False
542,False,False,True,False
543,False,False,True,False
544,False,False,True,False
545,False,True,True,True
546,False,True,True,False
547,False,True,True,True
548,True,False,True,False
549,False,False,True,False
550,False,False,True,False
551,False,False,True,False
552,False,False,True,False
553,False,False,True,False
554,False,False,True,False
555,True,False,True,False
556,False,False,True,False
557,False,False,True,False
558,False,False,True,False
559,False,False,True,False
560,False,False,True,False
561,False,False,True,False
562,False,False,True,False
563,False,False,True,False
564,True,False,True,False
565,False,False,True,False
566,False,False,True,False
567,False,False,True,False
568,False,True,True,True
569,False,False,True,False
570,False,True,True,True
571,False,False,True,False
572,False,True,True,True
573,False,True,True,True
574,False,False,True,False
575,False,False,True,False
576,False,False,True,False
577,False,False,True,False
578,False,False,True,False
579,False,False,True,False
580,False,False,True,False
581,False,False,True,False
582,False,False,True,False
583,False,False,True,False
584,False,False,True,False
585,False,False,True,False
586,False,False,True,False
587,False,False,True,False
588,False,False,True,False
589,False,True,True,True
590,False,False,True,False
591,False,False,True,False
592,False,False,True,False
593,False,False,True,False
594,False,False,True,False
595,False,False,True,False
596,False,False,True,False
597,False,False,True,False
598,False,False,True,False
599,False,False,True,False
600,False,False,True,False
601,False,False,True,False
602,False,False,True,False
603,True,False,True,False
604,False,True,True,True
605,False,False,True,False
606,True,False,True,False
607,True,False,True,False
608,True,False,True,False
609,True,False,True,False
610,True,False,True,False
611,True,False,True,False
612,False,False,True,False
613,False,False,True,False
614,False,False,True,False
615,False,False,True,True
616,False,False,True,False
617,False,False,True,False
618,False,False,True,False
619,False,False,True,False
620,False,False,True,False
621,False,False,True,False
622,False,False,True,False
623,False,False,True,False
624,False,True,True,False
625,False,False,True,False
626,False,False,True,False
627,False,False,True,False
628,False,False,True,False
629,False,False,True,False
630,False,False,True,False
631,False,False,True,False
632,False,True,True,True
633,False,True,True,True
634,False,False,True,False
635,False,True,True,True
636,False,True,True,True
637,False,True,True,False
638,False,True,True,False
639,False,False,True,False
640,False,False,True,False
641,False,False,True,False
642,False,False,True,False
643,False,True,True,False
644,False,True,True,False
645,False,False,True,False
646,False,False,True,False
647,False,False,True,False
648,False,False,True,False
649,False,False,True,False
650,False,True,True,True
651,True,True,True,True
652,False,True,True,False
653,False,True,True,False
654,False,True,True,True
655,False,True,True,False
656,False,False,True,False
657,False,False,True,False
658,False,True,True,False
659,False,False,True,False
660,False,False,True,False
661,False,False,True,False
662,False,False,True,False
663,False,False,True,False
664,False,False,True,False
665,False,False,True,False
666,False,False,True,False
667,False,False,True,False
668,False,True,True,True
669,False,True,True,True
670,False,False,True,False
671,False,False,True,False
672,False,False,True,False
673,False,False,True,False
674,False,False,True,False
675,False,True,True,False
676,False,False,True,False
677,False,True,True,False
678,False,False,True,False
679,False,False,True,False
680,False,False,True,False
681,False,False,True,False
682,False,False,True,False
683,False,True,True,False
684,False,True,True,False
685,False,True,True,False
686,False,True,True,False
687,False,True,True,False
688,False,True,True,False
689,False,True,True,False
690,False,False,True,False
691,False,False,True,False
692,False,False,True,False
693,False,False,True,False
694,False,False,True,False
695,False,False,True,False
696,False,False,True,False
697,False,False,True,False
698,False,False,True,False
699,False,False,True,False
700,False,False,True,False
701,False,False,True,False
702,False,False,True,False
703,False,False,True,False
704,False,False,True,False
705,False,False,True,False
706,False,False,True,False
707,False,False,True,False
708,False,True,True,False
709,False,False,True,False
710,False,False,True,False
711,False,False,True,False
712,False,False,True,False
713,False,False,True,False
714,False,True,True,False
715,False,False,True,False
716,False,True,True,False
717,False,False,True,False
718,True,False,True,False
719,False,True,True,False
720,False,False,True,False
721,False,False,True,False
722,False,False,True,False
723,False,False,True,False
724,False,False,True,False
725,False,True,True,False
726,True,True,True,False
727,False,False,True,False
728,False,False,True,False
729,False,False,True,False
730,False,False,True,False
731,False,False,True,False
732,False,False,True,False
733,False,False,True,False
734,False,False,True,False
735,False,False,True,False
736,False,False,True,False
737,False,False,True,False
738,False,False,True,False
739,False,False,True,False
740,False,False,True,False
741,False,False,True,False
742,False,False,True,False
743,False,False,True,False
744,False,False,True,False
745,False,False,True,False
746,False,False,True,False
747,False,False,True,False
748,False,False,True,False
749,False,False,True,False
750,False,False,True,False
751,False,False,True,False
752,False,False,True,False
753,False,False,True,False
754,False,False,True,False
755,False,True,True,False
756,False,True,True,False
757,False,False,True,False
758,False,False,True,False
759,False,False,True,False
760,False,True,True,False
761,False,False,True,False
762,False,False,True,False
763,False,False,True,False
764,False,False,True,False
765,False,False,True,False
766,False,False,True,False
767,False,True,True,True
768,False,False,True,False
769,False,False,True,False
770,False,False,True,False
771,False,False,True,False
772,False,False,True,False
773,False,True,True,True
774,False,False,True,False
775,False,False,True,False
776,False,False,True,False
777,False,False,True,False
778,False,False,True,False
779,False,False,True,False
780,False,False,True,False
781,False,True,True,False
782,False,False,True,False
783,False,False,True,False
784,False,False,True,False
785,False,False,True,False
786,False,False,True,False
787,False,False,True,False
788,False,False,True,False
789,False,False,True,False
790,False,True,True,False
791,False,False,True,False
792,False,False,True,False
793,False,False,True,False
794,False,False,True,False
795,False,False,True,False
796,False,False,True,False
797,False,False,True,False
798,False,False,True,False
799,False,False,True,False
800,False,False,True,False
801,False,False,True,False
802,False,False,True,False
803,False,False,True,False
804,False,False,True,False
805,False,False,True,False
806,False,False,True,False
807,False,False,True,False
808,False,False,True,False
809,False,False,True,False
810,False,False,True,False
811,False,False,True,False
812,False,False,True,False
813,False,False,True,False
814,False,False,True,False
815,False,False,True,False
816,False,False,True,False
817,False,False,True,False
818,False,False,True,False
819,False,False,True,False
820,False,False,True,False
821,False,True,True,False
822,False,False,True,False
823,False,False,True,False
824,False,True,True,False
825,False,True,True,False
826,False,True,True,False
827,False,True,True,False
828,False,False,True,False
829,False,False,True,False
830,False,False,True,False
831,False,False,True,False
832,False,False,True,False
833,False,False,True,False
834,False,False,True,False
835,False,False,True,False
836,False,False,True,False
837,True,False,True,False
838,False,False,True,False
839,False,False,True,False
840,False,False,True,False
841,False,True,True,False
842,False,False,True,False
843,False,False,True,False
844,False,True,True,False
845,False,False,True,False
846,False,False,True,False
847,False,False,True,False
848,False,False,True,False
849,False,False,True,False
850,False,True,True,True
851,False,False,True,False
852,True,True,True,True
853,True,True,True,True
854,True,True,True,True
855,False,True,True,False
856,False,True,True,False
857,False,False,True,False
858,False,False,True,False
859,False,False,True,False
860,False,False,True,False
861,False,False,True,False
862,False,False,True,False
863,False,False,True,False
864,False,False,True,False
865,False,False,True,False
866,False,False,True,False
867,False,False,True,False
868,False,False,True,False
869,False,False,True,False
870,False,False,True,False
871,False,False,True,False
872,False,False,True,False
873,False,False,True,False
874,False,False,True,False
875,False,False,True,False
876,False,False,True,False
877,False,False,True,False
878,False,False,True,False
879,False,False,True,False
880,False,False,True,False
881,False,True,True,False
882,False,True,True,False
883,False,True,True,False
884,False,True,True,False
885,False,True,True,False
886,False,True,True,False
887,False,False,True,False
888,False,True,True,False
889,False,True,True,False
890,False,True,True,False
891,False,True,True,False
892,False,True,True,False
893,False,True,True,False
894,False,True,True,False
895,False,True,True,False
896,False,True,True,False
897,False,True,True,False
898,False,True,True,False
899,False,True,True,False
900,False,False,True,False
901,False,False,True,False
902,False,False,True,False
903,False,True,True,False
904,False,False,True,False
905,False,True,True,False
906,False,False,True,False
907,False,False,True,False
908,False,False,True,False
909,False,False,True,False
910,False,False,True,False
911,False,False,True,False
912,False,False,True,False
913,False,False,True,False
914,False,False,True,False
915,False,False,True,False
916,False,False,True,False
917,False,False,True,False
918,False,False,True,False
919,False,False,True,False
920,False,False,True,False
921,False,False,True,False
922,False,False,True,False
923,False,False,True,False
924,False,False,True,False
925,False,False,True,False
926,False,False,True,False
927,False,True,True,True
928,True,True,True,True
929,False,False,True,False
930,False,False,True,False
931,False,False,True,False
932,False,False,True,False
933,False,False,True,False
934,False,False,True,False
935,False,False,True,False
936,False,False,True,True
937,True,True,True,True
938,False,False,True,False
939,False,False,True,False
940,False,True,True,False
941,False,False,True,False
942,False,False,True,False
943,False,False,True,False
944,False,False,True,False
945,False,True,True,False
946,False,False,True,False
947,False,False,True,False
948,False,False,True,False
949,False,False,True,False
950,False,False,True,False
951,False,False,True,False
952,False,False,True,False
953,True,False,True,False
954,True,False,True,False
955,True,False,True,False
956,True,False,True,False
957,False,False,True,False
958,False,True,True,False
959,False,False,True,False
960,False,False,True,False
961,False,False,True,False
962,False,True,True,False
963,False,True,True,False
964,False,True,True,False
965,False,True,True,False
966,False,True,True,False
967,True,True,True,True
968,False,False,True,False
969,False,False,True,False
970,False,False,True,False
971,False,False,True,False
972,False,False,True,False
973,False,False,True,False
974,False,False,True,False
975,False,False,True,False
976,False,False,True,False
977,False,False,True,False
978,False,False,True,False
979,False,False,True,False
980,False,False,True,False
981,False,False,True,False
982,False,False,True,False
983,False,False,True,False
984,False,False,True,False
985,False,False,True,False
986,False,False,True,False
987,False,False,True,False
988,False,False,True,False
989,False,False,True,False
990,False,False,True,False
991,False,False,True,False
992,False,True,True,False
993,False,True,True,True
994,False,True,True,True
995,False,True,True,True
996,False,False,True,False
997,False,False,True,False
998,False,False,True,False
999,False,False,True,False
1000,False,False,True,False
1001,False,False,True,False
1002,False,False,True,False
1003,False,False,True,False
1004,False,False,True,False
1005,False,False,True,False
1006,False,False,True,False
1007,False,False,True,False
1008,False,False,True,False
1009,False,False,True,False
1010,False,False,True,False
1011,False,False,True,False
1012,False,False,True,False
1013,False,False,True,False
1014,False,False,True,False
1015,False,False,True,False
1016,False,False,True,False
1017,False,False,True,False
1018,False,False,True,False
1019,False,False,True,False
1020,False,False,True,False
1021,True,True,True,True
1022,True,False,True,False
1023,False,False,True,False
1024,False,False,True,False
1025,False,False,True,False
1026,False,False,True,False
1027,False,False,True,False
1028,False,False,True,False
1029,False,False,True,False
1030,False,False,True,False
1031,False,False,True,False
1032,False,False,True,False
1033,False,True,True,True
1034,False,True,True,True
1035,False,False,True,False
1036,False,True,True,False
1037,False,False,True,False
1038,True,True,True,True
1039,False,False,True,False
1040,False,False,True,False
1041,False,False,True,False
1042,False,False,True,False
1043,False,False,True,False
1044,False,False,True,False
1045,True,False,True,False
1046,False,False,True,False
1047,False,False,True,False
1048,True,True,True,True
1049,False,True,True,True
1050,False,True,True,True
1051,False,False,True,False
1052,False,True,True,False
1053,False,False,True,False
1054,False,False,True,False
1055,False,False,True,False
1056,False,False,True,False
1057,False,False,True,False
1058,False,True,True,True
1059,False,True,True,True
1060,False,False,True,False
1061,False,False,True,False
1062,False,False,True,False
1063,False,False,True,False
1064,False,True,True,False
1065,False,False,True,False
1066,False,True,True,False
1067,False,True,True,False
1068,False,True,True,False
1069,False,False,True,False
1070,False,False,True,False
1071,False,False,True,False
1072,False,True,True,False
1073,False,True,True,False
1074,False,False,True,False
1075,False,False,True,False
1076,False,False,True,False
1077,False,False,True,False
1078,False,False,True,False
1079,True,False,True,False
1080,False,False,True,False
1081,False,False,True,False
1082,False,False,True,False
1083,False,False,True,False
1084,False,False,True,False
1085,False,False,True,False
1086,False,False,True,False
1087,False,False,True,False
1088,False,False,True,False
1089,True,False,True,False
1090,False,False,True,False
1091,False,False,True,False
1092,False,False,True,False
1093,False,False,True,False
1094,False,True,True,True
1095,False,False,True,False
1096,False,False,True,False
1097,True,True,True,False
1098,False,False,True,False
1099,False,False,True,False
1100,False,False,True,False
1101,False,False,True,False
1102,False,False,True,False
1103,False,True,True,True
1104,False,False,True,False
1105,False,True,True,False
1106,False,False,True,False
1107,False,True,True,False
1108,False,True,True,True
1109,False,False,True,False
1110,True,False,True,False
1111,False,False,True,False
1112,False,False,True,False
1113,True,False,True,False
1114,False,False,True,False
1115,False,False,True,False
1116,True,False,True,False
1117,False,False,True,False
1118,False,True,True,False
1119,False,False,True,False
1120,False,False,True,False
1121,False,False,True,False
1122,False,False,True,False
1123,False,False,True,False
1124,False,False,True,False
1125,False,False,True,False
1126,False,False,True,False
1127,False,False,True,False
1128,False,False,True,False
1129,False,False,True,False
1130,False,False,True,False
1131,False,False,True,False
1132,False,False,True,False
1133,False,False,True,False
1134,False,False,True,False
1135,False,False,True,False
1136,False,True,True,False
1137,False,True,True,False
1138,False,False,True,False
1139,False,False,True,False
1140,False,False,True,False
1141,False,True,True,False
1142,False,False,True,False
1143,False,False,True,False
1144,False,False,True,False
1145,False,False,True,False
1146,False,False,True,False
1147,False,False,True,False
1148,False,False,True,False
1149,False,False,True,False
1150,False,False,True,False
1151,False,True,True,True
1152,False,False,True,False
1153,False,False,True,False
1154,False,False,True,False
1155,False,False,True,False
1156,False,False,True,False
1157,False,False,True,False
1158,False,False,True,False
1159,False,False,True,False
1160,False,True,True,True
1161,False,False,True,False
1162,False,False,True,False
1163,False,False,True,False
1164,False,False,True,False
1165,False,True,True,False
1166,False,False,True,False
1167,False,False,True,False
1168,False,False,True,False
1169,False,False,True,False
1170,False,False,True,False
1171,False,False,True,False
1172,False,False,True,False
1173,False,False,True,False
1174,False,False,True,False
1175,False,False,True,False
1176,False,False,True,False
1177,False,False,True,False
1178,False,False,True,False
1179,True,True,True,True
1180,False,False,True,False
1181,False,False,True,False
1182,False,True,True,False
1183,False,True,True,False
1184,False,False,True,False
1185,False,False,True,False
1186,False,False,True,False
1187,False,True,True,True
1188,False,False,True,False
1189,False,False,True,False
1190,False,False,True,False
1191,False,False,True,False
1192,False,True,True,False
1193,False,False,True,False
1194,False,False,True,False
1195,False,False,True,False
1196,False,False,True,False
1197,False,False,True,False
1198,True,True,True,True
1199,True,False,True,False
1200,True,True,True,True
1201,False,True,True,False
1202,False,True,True,False
1203,False,False,True,False
1204,False,False,True,False
1205,False,True,True,True
1206,False,True,True,False
1207,True,True,True,True
1208,False,False,True,False
1209,False,False,True,False
1210,False,False,True,False
1211,False,True,True,False
1212,False,True,True,False
1213,False,False,True,False
1214,False,False,True,False
1215,False,False,True,False
1216,False,False,True,False
1217,False,False,True,False
1218,False,False,True,False
1219,False,False,True,False
1220,False,False,True,False
1221,False,False,True,False
1222,False,True,True,False
1223,False,True,True,False
1224,False,True,True,False
1225,False,False,True,False
1226,False,True,True,False
1227,False,True,True,True
1228,False,False,True,False
1229,False,True,True,False
1230,False,True,True,True
1231,False,False,True,False
1232,False,False,True,False
1233,False,False,True,False
1234,True,False,True,False
1235,False,False,True,True
1236,False,False,True,False
1237,False,False,True,False
1238,False,False,True,False
1239,False,True,True,False
1240,False,True,True,False
1241,True,True,True,True
1242,False,False,True,False
1243,False,True,True,True
1244,False,False,True,False
1245,False,False,True,False
1246,False,True,True,False
1247,True,False,True,False
1248,False,True,True,True
1249,False,True,True,False
1250,False,True,True,False
1251,False,True,True,False
1252,False,True,True,False
1253,False,False,True,False
1254,False,False,True,False
1255,False,False,True,False
1256,False,False,True,False
1257,False,True,True,False
1258,False,True,True,True
1259,False,True,True,False
1260,False,True,True,False
1261,False,False,True,False
1262,False,True,True,False
1263,False,False,True,False
1264,False,False,True,False
1265,False,False,True,False
1266,False,True,True,False
1267,False,False,True,False
1268,False,False,True,False
1269,False,False,True,False
1270,False,True,True,True
1271,False,False,True,False
1272,False,True,True,False
1273,False,True,True,False
1274,False,False,True,False
1275,True,True,True,True
1276,False,False,True,False
1277,False,False,True,False
1278,False,False,True,False
1279,False,False,True,False
1280,False,True,True,False
1281,False,False,True,False
1282,False,False,True,False
1283,False,False,True,False
1284,False,False,True,False
1285,False,False,True,False
1286,False,False,True,False
1287,False,False,True,False
1288,False,True,True,False
1289,True,True,True,False
1290,False,False,True,False
1291,False,False,True,False
1292,False,False,True,False
1293,False,False,True,False
1294,False,False,True,False
1295,False,False,True,False
1296,False,False,True,False
1297,False,False,True,False
1298,False,True,True,False
1299,False,False,True,False
1300,False,False,True,False
1301,False,True,True,True
1302,False,False,True,False
1303,False,False,True,False
1304,False,False,True,False
1305,False,False,True,False
1306,False,False,True,False
1307,False,False,True,False
1308,False,False,True,False
1309,False,False,True,False
1310,False,False,True,False
1311,False,False,True,False
1312,False,False,True,False
1313,False,False,True,False
1314,True,True,True,True
1315,True,True,True,False
1316,False,True,True,True
1317,False,True,True,True
1318,False,True,True,False
1319,False,False,True,False
1320,False,True,True,True
1321,False,True,True,True
1322,False,True,True,True
1323,False,False,True,False
1324,False,False,True,False
1325,True,True,True,True
1326,False,False,True,False
1327,False,False,True,False
1328,False,True,True,False
1329,False,False,True,False
1330,False,True,True,False
1331,False,False,True,False
1332,False,False,True,False
1333,False,False,True,False
1334,False,False,True,False
1335,False,False,True,False
1336,False,False,True,False
1337,False,False,True,False
1338,False,False,True,False
1339,False,False,True,False
1340,False,False,True,False
1341,False,False,True,False
1342,False,False,True,False
1343,False,False,True,False
1344,False,False,True,False
1345,False,False,True,False
1346,False,False,True,False
1347,False,False,True,False
1348,False,False,True,False
1349,False,False,True,False
1350,False,False,True,False
1351,False,False,True,False
1352,False,False,True,False
1353,False,False,True,False
1354,False,False,True,False
1355,False,False,True,False
1356,False,False,True,False
